BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
274;7127;audio muy bajo;AbrÃ­ diodo CR1953, eso fuÃ© lo principal aunque tambien cambiÃ© el C1904=220microfar/35V;el sonido se escucha muy bajo a pesar de tener el volumen al mÃ¡ximo.;0
275;7828;Contraste al minimo, no aumenta ni en menÃº ni en servicio;"En la parte posterior de la placa, justo a un lado del fly back \""lado derecho\"", lleva una serie de 2 diodos zenner, conectados en serie, junto a un diodo simple de cristal tambiÃ©n en serie, Ã©stos son los que acoplan el voltage del pin del ABL del fly";El contraste estÃ¡ al minimo, y se distingue muy poco la imagen y el color, al aumentar el contraste desde el menÃº el contador si aumenta pero no hay variaciÃ³n en el contraste, al entrar al servicio tampoco hay cambio, aunque el display del menÃº, numer;0
276;7700;mancha oscura lado izquierdo de la pantalla;cambiar condensador electrolÃ­tico de 4,7 mf x 250 v. que se encuentra atrÃ¡s de la etapa vertical.;poseÃ­a una mancha oscura del lado izquierdo de la pantalla.;0
277;7931;Sin deflecciÃ³n vertical;"Se reemplaza
C522 (470uf/63V)
r623 (22ohm/7w)";Linea horizontal;0
278;8003;No enciende;"CAMBIE EL CI IX1791CE ESTABA EN CORTO 
CAMBIE ELECTROLÃTICOS DE FUENTE Y OPTOACOPLADOR RESULTADO OK";"NO ENCIENDE FUSE QUEMADO

";0
279;8342;No Enciende;El Diodo RPG30J al lado del transformador de la fuente conmutada..;"El tv al prenderlo por el panel(Power) o por el control Remoto no arranca.Se procedio a medir tanto el regulador de voltaje(5Q1265RF) el cual lo monte en otro y bien.Se probo la salida horizontal TT2076(TSH)con el multimetro y Bien .
Procedi a medir los";0
280;8517;imagen lavada , muy poco contraste;linea de retardo de luminancia en corto , se lo reemplazo adaptandolo por otro de otra marca;la imagen se ve con poco contraste , en el tda3560 (pin 7) del control de contraste ,es normal (1.5 a 4v) , el control de color y brillo es normal..;0
281;8881;no enciende;despues de revisar el reg,horz,vert,etc todo esta ok,se mide voltage en la r=626 (33ohm)y da un voltage de 9volt y en el capacitor c615 (16v 1000mf)este esta fuera de valor ya que es de 85 grados y se seca po la temperatura cambiarlo por otro de 105 grado;este modelo no trae relay al solo conectarlo la fuente trabaja con un carga de 135v permanente y aparenta tener los 5v en los interruptores y aun asi no enciende;0
282;8881;no enciede;despues de revisar reg,hor,vert,etc dimos seguimiento de de los 12volt atraves del c615 y la r623 estaban en 9v esto se debia a que por temperatura el capacitor de 16v-1000mf esta seco o fuera de valor ya que es de 85 grados y esta zona calienta se cambio;este tv no trae relay y al solo conectarlo en ac tiene carga de alrededor de 135v permanente en la fuente y tension de 5v en los interruptores tambien hay voltage de 5v en la eeprom en las patillas (5-6-8,las demas son neg.)y aun asi no enciende;0
283;8882;Sin rastro;Se reemplazo transistor Q502 con matricula C1815 (NTE 85);No hay brillo, ni sonido, solo caracteres en pantalla;0
284;9046;Tironeo horizontal.Desengancha vertical;Se reemplazÃ³ C302 de 1ufx50v en el circuito separador de sincronismo.;Pareciera como AGC saturado. Tironeo y ondulaciÃ³n horizontal. Desengancha vertical aleatoriamente.;0
285;9122;pantalla comprimida;reemplazar (C308) 220uf35V;la pantalla estaba comprimida en su parte inferior y se observaban lineas de retrazo;0
286;9122;pantalla comprimida;reemplazar (C308) 220uf35V;la pantalla estaba comprimida en su parte inferior y se observaban lineas de retrazo;0
287;9126;no enciende;" C866 de 1mf 50v que esta en el pin 7 
 y R867de 56K que esta en en pin 3 regulador de la fuente STR-Z4151 estaban malo.
"; a darle la orden de encendido se escucha que el relay se activa pero no hay voltaje en la fuente;0
288;9151;No enciende solo se escucha el relay;El problema es el condensador electrolitico c410 16 voltios 100 microfaradios, este se encuentra serca de la jungla. cambialo y el televisor encendera otra ves.;cuando la enciendes no hay video ni sonido solo se escucha el relay q se activa;0
289;9198;No enciende;"Al comparar impedancias segÃºn tabla, hubo diferencia significativa entre pin 1 y pin 2; se reemplazÃ³ STR y funcionÃ³ todo normalmente.
ObservaciÃ³n: este tv no tiene menÃº de servicio, sus ajustes son mediante sus presets.";"complemento de diagnÃ³stico anterior.
";0
290;9198;no enciende;"Desmontar el STR y comparar sus impedancias con la siguiente tabla:
-1+2=0.488
-1+3 al +7= infinito

-2+3 al +7= infinito

-3+4=1.195
-3+5= infinito
-3+6=0.863
-3+7=1.946

-4+5=infinito
-4+6=1.746
-4+7=2.282

-5+6=0.741
-5+";"Al conectar se escucha \""click\"" pero no enciende y tampoco enciende el led de stand by.No hay +B y Q salida horizontal y diodos rectificadores de toda la fuente estan bien. La unica duda es el switching STRM6515.";0
291;9499;de repente como que se cierra la imagen;"se cambio el int.de salida vert.ycapacitores pero la falla persiste y lo hace mas cuando aparece una imagen blanca.
se soluciona cambiando el capacitor CX3233 de 47uF a 160v que esta por el fly";La tv enciende normal pero sin mucho contraste,despues de un rato empieza a querer cerrarse el vertical.;0
292;9682;Falla de prueba;Solucion de prueba, probando el sistema;Falla de prueba, probando el sistema;0
293;9683;No enciende;"CAMBIE DIODO EN FUENTE SECUNDARIA FR 107 EN CORTO 
PUSE BA 159 
";"NO ENCIENDE ( ni el led)

";0
294;9684;Se conecta y arranca solo;El regulador de 5 voltios que es uno pequeÃ±o se cae el voltaje a 2 voltios, se cambio por uno positivo LM7805 que es de 1 amperio y todo se soluciono, ahora no se prendia solo y los pulsadores volvieron a funcionar normal.;Al conectar el tv arranca enseguida sin dar power y con volumen al maximo, pero no sintoniza nada ni cambia ni apaga, los pulsadores estan bloqueados. En principio sin haber medido nada se penso en el micro.;0
295;9685;No Enciende;"Monte el Flyback cuyo numero era el DNFF01415 .
En pleno funcionamiento";Se trata de encender y no lo hace.Led de standby parpadea.Se probaron el transistor de salida horizontal y el regulador de voltaje ,estaban en perfecta condicion(Buenos).Las tensiones de la fuente bien ,la tension al TSH bien.Lo que hice fue tocar la sali;0
296;9686;no da imagen;"asi no tiene
";no da imagen ,solo aprecen rayas;0
297;9686;EL TV NO DA IMAGEN;"QUE HAY QUE HACERLE
";EL TV NO DA IMAGEN ,SOLO LE SALEN RAYAS;0
298;9687;Funcionamiento erratico;"Cambiar todos los pulsadores
(6 en total)";enciende y apaga solo, se sube volumen ,cambia canales o aparece menÃº.;0
299;9688;No arranca;Se cambio el regulador CQ0765RT y el TL431 y para mayor seguridad se cambio tambien el optoacoplador y quedo OK;en la observacion se noto el regulador zener TL431 explotado y en las mediciones habia voltaje en la entrada del regulador CQ0765RT pero ningun voltaje de salida;0
300;9689;se apaga repetidas veces;resoldar la placa memoria micro jungla etc todo lo que se pueda pero lo mas importante sacar la botonera la que cambia canales vol+ vol- despegarla un poco y listo espero que les sirva chua saludos;el tv prende ok al segundo se apaga y se prende solo hasta corto la alimentacion;0
301;9690;se met en stanby aprÃ¨s 2mn de fonctionnement;Changer les condensateurs de 1uF 160v et 4.7uF 160v;fonctionne par intermittence;0
302;9691;Horizontal Cerrado;Rebobinar la bobina del horizontal que va en paralelo con R413, o bien reemplazarla por una de Panasonic, y reemplazar la R413 por una de .22 ohms a 5 W.;Al encender la Tv, solo se ve una linea vertical al centro del televisor.;0
303;9691;No enciende;Se reemplaza el filtro de 470uf 25volts en la fuente de 13 v. trabajando perfectamente el aparato;"El cliente reporta que gradualmente cuesta mas encenderla, La fuente de B+ si tiene los 100/102volts. la salida Horizontal se aprecia bien y no hay corto aÃºn aislandola, e instalando foco no enciende. se escucha un ruido \""tick tick\"" y el led parpadea u";0
304;9692;no enciende;"C474 de 100Mf 25V y C471 de 100Mf 25V
estaban malos";a darle powuer el Voltaje del T450se cae a casi 0V y en STANBAY es de 24V;0
305;9693;se apaga y se enciende se apaga y se enciende;se midieron todos los componentes y aparentemente todos estaban bien se hizo una inspeccion visual detallada y c502 estaba un poco inflado se reemplazo y listo;al encender el televisor despues de un rato este se apaga y se vuelve a encender solo varias veces;0
306;9694;no prende;se cambio lo daÃ±ado un resoldado en fuente y cambio de los filtros pequeÃ±os de fuente .De esta forma arranco perfectamente.;fuse abierto,puente en corto,falsos varios;0
307;9695;"Inoperante (\""Muerto\"")";Luego de bajar el correspondiente archivo y cargarlo en una memoria, el tv no funciona aÃºn debido a el zener de 7v5 de la fuente y a diversas soldaduras malas en la zona del blindaje del sintonizador, primario de la fuente y flyback. Una vez subsanados l;Este set ha venido de otro taller y le falta la memoria eeprom 24C02...;0
308;9696;despuesde 3 minutos mete ruido;cambiar CI IC6X0, el cual es un regulador de 12v para la etapa de video;El aparato enciende bien, pero despues de unos 3 minutos mete ruido en el audio y la imagen se ve como flotante. se utilizo congelanta para localizar la falla, ya que al ponerselo a la piaza defectuosa se corrigia la falla por unos momentos;0
309;9697;se pega el cabezal  en cualquier parte del eje;primero revisar que no sea alguna aguja que se quede afuera del cabezal , y se atasque con la cinta , y lo mas comun , sacar los engranajes hay uno que se desgasta por el uso. este engranaje es el que mueve el eje que mueve la cinta cuando esta imprimiend;Esta falla es muy comun en estas impresoras , citizen gsx-190 y gsx 2xx. arranca a imprimir y se le pega el cabezal en cualquier parte del eje donde corre el, cabezal;0
310;9698;falla al imprimir;espero que me den una solucion , no se si es asi el foro o es para poner problemas solicionados , disculpen si entendi mal gracias y suerte en esta nueva idea;Imprime un solo color azul, en lineas azul paralelas continuas , ya limpie los inyectores y sale una lluvia continua de ellos.;0
311;9699;5 pitos..;"revision del sensor del cabezal (se pega y produce esto)

revisar el motor de arrastre del cabezal ... bobina quemada";la impresora enciende trata de ajustar el cabezal y produce 5 pitos.;0
312;9700;PITOS Y BLOQUEO;remplazo de bus de datos del cabezal ... ructura interna...;enciende ajusta el cabezal .. empieza a imprimir.. de un momento a otro se golpea el cabezal fuertemente al lado derecho.. y se encienden todos lo led...;0
313;9702;no reconoce recarga de cartucho;en los contactos de cobre de arriba hacia abajo  antes de  insertarlos tapar con cinta escoch o similar el 1 er contacnto de cobre poner el cartucho encender la impresora dara un aviso ignorar sacar el catuc. sacarle la cinta y volver a insertar y..guauu;cuando recargan el cartucho 27/negro) o 28(color)no marca niveles de tinta;0
314;9702;No enciende;se quemo el shotky ss15 (smd) de una fuente auxiliar buck de la entrada, cambiarlo por cualquier shotky de 400v 16A;no enciende y la placa logica tiene seÃ±ales de temperatura;0
315;9702;No enciende;se quemo el shotky ss15 (smd) de una fuente auxiliar buck de la entrada, cambiarlo por cualquier shotky de 400v 16A;no enciende y la placa logica tiene seÃ±ales de temperatura;0
316;9703;Reseteo del equipo en cualquier momento;"La impresora conectada a un puerto usb el cual era universal, se le instalo un nuevo hardware TARJETA CON DOS PUERTOS USB VERSION 2.0 AUC 2000 y alli se conecto dicha impresora 
";"Uno de los sintomas es que se resetea el equipo en cualquier momento si se encuentra conectado a internet asi no este navegando, y aveces se resetea sin estarlo, logicamente la impresora esta encendida, Si se esta impriemiento cualquier archivo \""no siemp";0
317;9704;No Enciende.;"CAmbio de placa LÃ³gica.En un 70 % de los casos el problema es de la lÃ³gica.Si eso no funciona reemplazar la fuente de poder..
";El Plotter no enciende,se ve una luz verde en su interior.;0
318;9705;Film Fusor;Retirar el fusor de la impresora y cambiar el Film Fusor agregando la grasa correspondiente a la lampara de ceramica, cuidando que quede limpia la filmina en su parte exterior. Revisar rodillo de presion (de color naranja en la mayoria de los modelos) cor;Hace ruido repetitivo el fusor, en partes no se pega el toner a la hoja o genera manchas. Se encuentran pedazos de lamina de color gris dentro de la impresora.;0
319;9706;Ruido en el fusor;"Reemplazar el Swing plate assy..Numero de parte:RM1-0043-060CN.
Revisar que el engranaje del fusor no gire forzado,esto provocarÃ¡ un desgaste prematuro del swing.";Se escucha un ruido raro cerca del fusor ,en la parte posterior del equipo.;0
320;9708;copia en blanco;"antes de reemplazar o reparar HVT, primero hay que verificar unidades que intervengan con la formacion de imagen como: sistema optico limpio, u. de revelado en buen estado y tambor con sus respectivos componentes en buen funcionamiento como; coronas de ca";todas las copias en blanco por mal funcionamiento de HVT daÃ±ado a causa de arqueamiento en corona de transferencia y despegue.;0
321;9710;displey roto; se lo cambie ,displey fue lo mismo , cambie flex y es lo mismo ,cambie maquina y sige igual , me entrege algien tiene solucion ?;prende solo la luz ,aveses da inmagen .;0
322;9711;no funciona microfono;esoero que alguien pueda ayudarme gracias;falla el microfono porque tengo que usar el audifono para que me escuchen;0
323;9712;no enciende;revisar resistencia fusible de entrada en la baterÃ­a, suele cortarse. Sino deberÃ¡s flashearlo;no enciende de ninguna manera;0
324;9713;"no da se&#241;al";no se;"lo flashe con la universal box luego de esto se quedo sin se&#241;al";0
325;9714;Sin Audio;"buscar un esquematico que me muestre los filtros, condensadores y resistencias que manejan esta parte
";"no se escucha en el auricular pero este esta bueno lo mismo que el flex y llegue hasta la tarjeta pero no se que partes manejan el audio en ella
";0
326;9714;no hay audio;primero prueve el flex y si no es el flex cambien o prueven el frontal,y si no es nada de estas dos cosas pues cambien los controladores de audio q estan en la parte tracera del conacto de bateria suerte; no hay audio;0
327;9716;No encienden las luces;En la parte trasera de la tarjeta principal se encuentra un circuito integrado cuadrado tipo BGA en la parte inferior central, a la derecha de este integrado y unos dos centimetros mas arriba, hay varios filtros de montaje superficial de los mas grandecit;El equipo funciona perfectamente pero no hay luz en la pantalla ni en el teclado;0
328;9719;no se escucha;la solucion es cambiar el auricular,en caso que persista la falla de veras cambiar todos los componentes q se encuentran al lado isquierdo del aricular...en caso que no te de resultado esto,tendras que retirar los componentes y puentear todo...;al momento de realisar una llamada,no se escucha ala otra persona..;0
329;9720;No enciende;le hacemos un test point y con el programa ramldr2 le cargamos el pds pds_v3i.smg, despues con el mismo programa le cargamos el boot loader patch_boot_0A30_V3i.smg. lo flasheamos en mstools con la monster pack gussparcheada.shx, en esta instancia el celu;el celular no enciende generalmente despues de un mal flash;0
330;9721;No carga;no tengo la soluciÃ³n, me pueden ayudar?;"Lo pongo a cargar y me dice: falla en carga, posteriormente sale otra frase: Bateria invalida.
Ya le cambiÃ© la bateria y me sigue diciendo lo mismo.
Â¿que hago? Â¿me echan una manita? Â¿si? Gracias. Rogelio15";0
331;9722;no filma ni saca fotos;la solucion no la se,por eso gestiono la pregunta en este foro,,abria que hacer mejor este sitio;lo botones para filamr o sacar fotos funcionan bien hasta el soft,porque acepta los cambios,,pero al encenderla no se ve nada la pantalla se ven ennegro pero como si estuviera filamndo o estubiera lista para sacar fotos,agradeceria a mi comunidad que me a;0
332;9724;no funciona teclado;"Reemplazar IC Z400 en la parte superior derecha, vista frontal del teclado bajo el infrarrojo.

";no funcionan todas o algunas teclas;0
333;9724;no se escucha microfono;resoldar el microfono lentamente con pistola termica aplicando de cuando en cuando flux alrededor, en caso de no funcionar cambiar por otro microfono;lo escuchan muy lejos o no lo oyen en llamada;0
334;9725;no tiene sistema;aun no tengo la solucion ayundeme;reinicie el sistema de mi celular sony ericsson z530i y al encenderce la pantalla principal solo tiene un color azul y no aparecen los iconos ni nada, aun recibe llamadas y las funciones basicas, busco la manera de reestablecer el sistema. si saben de alg;0
335;9726;No funciona la tecla central de regresar;En la mayoria de los casos basta con desconectar y conectar nuevamente el cable plano que viene del modulo de carga que se encuentra enchufado en la parte inferior de la tarjeta , si no corrige habra que reemplazar dicho cable o revisar con microscopio el;No funciona la tecla central de regresar, no funciona el microfono y/o no carga;0
336;9727;Falla de audio en auricular;Pueden ser dos cosas a saber: el auricular daÃ±ado, en cuyo caso solo basta con reemplazarlo (tiene que medir 30 onmios) o el conector de manos libres que es el que se encuentra en la tapa trasera metalica, en este caso si no se tiene el conector como rep;No se escucha el auricular;0
337;9728;sin sonidos o sonidos distorsionados;Las primeras versiones de software que lanzÃ³ alcatel con este modelo, terminaban por romper el buzzer (entonces quedaba sin sonidos o sonaba mal). La soluciÃ³n es actualizar a una versiÃ³n de software mÃ¡s reciente y remplazar dicha pieza (buzzer). Basta;El celular no emite sonidos o emite sonidos saturados, distorsionados.;0
338;9728;display blanco;Remplazar la pieza que falla, LCD principal (descartar que no sea problema de flex, placa del celular o software);LCD(display) principal en blanco;0
339;9728;no enciende, o enciende por unos segundos y se apaga.;ActualizaciÃ³n de software.;El celular prende por unos segundos, deja ver el logo del operador (en ocaciones)antes de apagarse. O directamente no enciende.;0
340;9729;al cambiar el lente no funciona;el lente trae un seguro que hay que retirar en el costado se puede hacer facilmente cn un cautin y listo queda fucionando.;"el lente de la consola se daÃ±o y luego de cambiarlo por uno nuevo la consola prende pero el lente nuevo no funciona.
";0
341;9729;no expulsa el cd completamente;desmontar el modulo del mecanismo completamente y localizar los rodillos de expulcion de cd desmontarlos y sacar las gomas de su eje limpiarlas con alcohol ademas rellenar el eje con un poco de cinta canela una sola vuelta y volver a montar las gomas en s;se patinan los rodillos que expolsan el cd;0
342;9729;Carga mas de una hoja;"Dependiendo al modelo, las impresoras tienen rodillos para la carga de papel y/o pads que detienen las hojas para que solo se carge una cada vez, cuando los rodillos estan gastados no cargan las hojas. Es necesario reemplazar por uno original.
Cuando el";Al cargar el papel se carga mas de una hoja, lo que provoca que se atoren o se imprima en varias hojas.;0
343;9729;botones daÃ±ados del panel frontal;crear  con la ayuda de una tableta fenolica perforada, una tira que cubra los orificios de los botones y sobre la tira soldar unos micro swich.  es la forma mas apropiada que he encontrado para reparar dichos problemas.  voya poner un enlase para que vean;la tv trabaja ok pero los botones estan todos rotos;0
344;9729;No Arranca, Se cuelga en Setup;Para muchos tecnicos es sintoma que la placa madre esta quemada pero en realidad solo hay que resetear la bios mediante el JUMP_er de la placa madre que resetea la bios por lo general se encuentra al lado de pila y son 3 pines de los cuales dos estan cerr;La maquina no Arranca despues de un corte de energia, Subida o bajada de Tencion, se queda en negro no levanta el bios de la placa madre. o arranca y se cuelga o no arranca nunca;0
345;9729;No carga y/o no enciende;Hay ua pequeÃ±a resistencia de montaje superficial entre el positivo de la bateria y la placa, esta resistencia actua como fusible y se abre.;El telefono no enciende y cuando se lo pone a cargar muestra que esta cargando pero no carga.;0
346;9730;no envia ni recibe fax;la falla es una resistencia de 2 ohmios abierta conectada a la entrada de la linea telefonica en el modem.;el fax funciona bien como telefono y copia bien,pero no funciona como fax,cuando se intenta enviar un fax no se escucha el sonido tipico de los fax.;0
347;9731;Al pasar el fax sale la hoja en negro pero recibe bien.;Posiblemente puede ser la lampara;Quiero saber cual la falla, por que en el destino final reciben la hoja en negro.;0
348;9732;No enciende. No enciende o las seÃ±ales de protecciÃ³n son incorrectas.;Soldadura frÃ­a en CN673. Resoldar.;;0
349;9732;El Flyback montado en posiciÃ³n vertical hace que la placa se quiebre.Problema detectado en GDMF500 serie 2700648 y GDM20SE2.;Reemplazar placa (G Board Assy).;;0
350;9732;No tiene imÃ¡gen debido a pÃ©rdida de voltaje G2. Resistor de filtro/limitador abierto en circuito rectificador de G2.;Reemplazar R903;;0
351;9733;efecto almohadilla;cambiar electrolitico de 100mf x 250 v en fuente secundaria.;;0
352;9734;no enciende;las tensiones en el secundario estan correctas. cambiar ic401 micro lgm41b-040c-008. ojo!! el 030c007 o 050c009 no son iguales;no enciende.;0
353;9735;Demasiado ancho (no regula);"Se reemplazo el Flyback y todo volvio a la normalidad. 
Mod. 6174Z-1036A";No regula ancho, el TIP122 calentaba demasiado al instante de encender el monitor, se reemplazo y la falla persistia.;0
354;9736;No enciende, no funciona menu;Revisar el ic 7805 sule ponerse en fuga y deja pasar mas de 6v. cambiar ic 7805;"El monitor no enciende, hace un sonido como un chasquido.

No funciona el menu o se activa solo el menu.
";0
355;9737;No enciende, ni siquiera el led;" se cambio el zener,asi como los capacitores de c615,c611,c618 y c606 que se derramo su electrolito. pudiendo ser la causa por la que se puso en corto el zener. 
y el equipo funciona perfectamente.";"se procedio a revisar la fuente, en los puntos de salida de voltaje del secundario los voltajes se encontraban a la mitad de su valor real.
por lo que la fuente operaba pero regulaba mal, se reviso la linea de retoalimentacion y se encontro el zener DZ6";0
356;9738;No enciende, hay luz verde;"Cambiar los tres electrolÃ­ticos de la fuente y el Q604 TIP29C que se abre cuando tiene carga, si se lo mide estÃ¡ OK pero en realidad estÃ¡ abierto.
Se puede medir que en colector hay 19 o mas Voltios en la base hay 12V y en el emisor hay 0V, o sea est";Monitor antiguo, enciende a veces,una vez que enciende anda por horas. Si se enfria no enciende mas pero la luz verde esta encendida. Con el osciloscopio se puede detectar que la fuente parpadea como si se protegiera.Al medir expontaneamente arranca y no;0
357;9739;Punto brillante al apagar;Siguiendo la linea de G1 primero me encontre con una resistencia en la tarjeta del TRC, la medi y estaba bien. Luego siguiendo la linea llegue a la terjeta principal por medio del flat, ahi encontre una resistencia de 1/8 de vatio de 22K, que se encontrab;Este monitor enciende , pero presenta una brillantez exagerada con lineas de retrazo. Al apagar se queda un punto brillante en el centro de la pantalla por un instante, de tal forma que ya esta quemada en el mismo centro de la pantalla.;0
358;9740;El menu se presenta en pantalla en forma constante sin posibilidad de quitarlo o si se lo hace dura unos segundos y vuelve a aparecer. Menu bloqueado.;"Reemplazar el regulador de 5V (7805) que alimenta la memoria Eeprom.
* Este tip funciona para varios modelos de la misma marca.";;0
359;9740;Click, Click,Click,Click,;"Se reemplazo el regulador de voltaje.
Serie: SL05
Y tambien se reemplazo micro(mucho voltaje lo malogro)";"todos los voltajes intermitentes(aparecen y desaparecen con el Click,Click,Click,)
Se aislo la etapa horizontal y la falla persiste, se reviso el voltaje del Micro y Eeprom y estaba en 8.0vcc
(normal 5.0vcc)";0
360;9740;Encendido intermitente;Se reemplazo el regulador de voltaje. Serie: SL05;Al probar encendio bien,pero al apagar ya no volvio a encender. se verifico el voltaje que alimenta al Micro y Eeprom y estaba en 1.5vcc (normal 5vcc) Se reemplazo el regulador de voltaje. Serie: SL05;0
361;9741;DeflecciÃ³n horizontal;"Se reemplazan
C116 (6.8mf/1600V)
Q111 (A1270)
Q112 (C3202)";No completa la pantalla, quedan mÃ¡rgenes negros a cada lado;0
362;9742;No enciende;reemplazar integrado generador pwm (UC3842) de 8 pines que se encuentra cerca del fet de la fuente.;Al presionar boton de encendido no hace nada, ni siquiera enciende el led. stb;0
363;9743;abl mal;anular  pata flyback tirandola a masa y  sacar  con un cable dando algunas vueltas en el ferrite  del flyback la tension de abl; condensador resistencia y  transistor bolados;0
364;9744;No hay trama, encienden LEDs;"Resolde la parte del horizontal y lo arme porque ya habia revisado todo y asunto arreglado.
";"No hay trama, no hay alta tension. Probe el transistor horizontal y esta bien, tambien algunos diodos y transistores proximos, que los encontre en buen estado.  
";0
365;9745;Se ve oscuro;lo abri y encontre 3 potenciometros que sirven para ajustar uno de ellos le da mas brillo.. casi todos los monitores CRT tienen eso.;Se ve todo muy oscuro;0
366;9746;Se apaga BackLight;Al lado de los conectores de los tubos del Back, hay dos capacitores con la nomenclatura 22j x 3kv (22pf x 3kv)los cuales se deben cambiar. Genereralmente se consiguen de 100pf x 2kv, colocamos 4 en serie y problema solucionado!!!;Despues de unos dos segundos, se apaga el BackLight del monitor. Podemos observar que la imagen es visible sio la reflejamos con luz.;0
367;9747;Pierde retroiluminaciÃ³n;"Retirar bobina L102, limpiar la pasta tÃ©rmica que lleva y volver a soldar.
El problema de este monitor es que cuando lleva un rato encendido esta pasta se calienta, se dilata y hace que la bobina haga mal contacto.


";Al rato de estar encendido se pierde la retroiluminaciÃ³n.;0
368;9748;imagen distorcionada;se requiere cambiar el regulador fijo 1117-18 de 1.8 voltios, probablemente este este sobretensionado.;el monitor enciende, da video pero la imagen esta distorcionada o sale con rayas.;0
369;9749;MUESTRA EL PULSO DE STANBAY EN LOS PILOTOS PERO NO DA VIDEO;CAMBIAR EL TRANSISTOR HORIZONTAL QUE SE ENCUENTRA EN CORTO MIDIENDO CONTINUIDAD EN TODAS SUS PATAS  Y RESOLDAR LA ETAPA DE FUENTE Y FLAYBAK;EL MONITOR HACE LA FUNCION DE ENCENDIDO MOSTRANDO LOS PILOTOS DE STANBAY PERO NO DA VIDEO;0
370;9750;No abre el video;Se remplazo Fley-Back y se remplazaron tambiÃ©n los condensadores cerÃ¡micos de la salida Horizontal por seguridad.;A pesa de que la tensiÃ³n de fuente estaba bien no funcionaba la salido Horizontal la tensiÃ³n caÃ­a a 68V en su consumo normal, al sacar Tr Horizontal subÃ­a a 175V, se noto que el Fley-Back comenzÃ³ a partirse exterior mente, caracterÃ­stico de el daÃ±o;0
371;9751;EL TELEVISOR FUNCIONA PERO NO TIENE SONIDO ,O NO CONTROLA EL VOLUMEN;SE CAMBIO LA MEMORIA EEPROM POR OTRA DE LAS MISMAS CARACTERISTICAS Y SE SOLUCIONO EL PROBLEMA.;EL TV NO CONTROLA EL VOLUMEN Y EN OCACIONES SE QUEDA SI AUDIO.;0
372;9751;No lee CD/DVD;En varias ocasiones se encontrÃ³ el flex del lector Ã³ptico con algunas de las cintas conductoras sin continuidad. Al reemplazar el flex cambiar el recorrido de manera que al llegar el pickup lÃ¡ser al final del recorrido no lo presione contra las paredes;No lee CD/DVD de repente.;0
373;9751;cuadro negro en la parte de abajo;beshabilitar el close caption, si esta habilitado se presenta la falla. hay que entrar a menu y localizar el close caption y ponerlo en off;la imagen se ve bien y se oye bien,pero en el canal 13 y 7 sale un recuadro negro en la parte inferior,hay veces que no sale,la falla en el numero de canal puede variar de acuerdo a la region donde se encuentre;0
374;9751;todo el teclado  solo hace on-off;resetear el micro, o quitarlo y volverlo a poner y con eso se corrige esta falla que es comun en estos aparatos, ya que en estos micros que presentan la falla el reset lo traen interno;el aparato enciende con cualquier tecla y se apaga con cualquier tecla, no hace ninguna otra funcion el teclado, esto lo provoca el micro;0
375;9752;LOGO INTERMITENTE;sacar memoria eprom, si se consigue actualizar el firmware;Parpadea logo en imÃ¡gen, escribre open, close en pantalla, no sale bandeja y se escucha como que la bandeja intenta salir pero se traba;0
376;9753;no girava motor de disco;se renplazo motor y se canbio resistensia superfisial de valor 1r1 y quedo;motor cruzado,resistensia superfisial carbonizada.;0
377;9754;no enciende;se cambio el regulador STR-G6351 y el dvd funciono normal;el dvd no encendia y no prendia el display se checo la fuente y no habia B+ en la salida de la fuente;0
378;9754;pantalla intermitente; todo estaba operativo audio,video lo unico que presentaba era la falla indicada,la solucion que se dio se realizo una recarga del cinescopio,luego de su carca,se encendio y quedo operativo tiene 7 meses no a dado problema.no se reemplazo componentes; se desaparecia y aparecia todo el tiempo fabricado en febrero de 1993;0
379;9755;No lee el CD;Limpiar bien el lector del cd.Si esto no funciona medir el ohmeaje del motor giratorio del cd que debe estar entre 8 y 30 ohmios, si es menor que esto se debe cambiar.;siempre que se ingresaba un cd, en el display aparecia No disck.;0
380;9756;Sin audio con fuerte ruido;Se reemplazÃ³ un electrolitico de la fuente (100 MF) sobre la salida +-12v.;"Cuando se enciende el dvd produce un fuerte ruido de audio (zumbido) aun con el volumen en minimo.
El video bien.";0
381;9757;MECANISMO TRABADO;CAMBIAR EL PIÃ‘ON DE CARGA PUES EN TODOS LAS FALLAS PIERDE TRACCION POR FALTA O DESGASTE DE DIENTES Y TENER EN CUENTA LOS TIEMPOS DEL MECANISMO;PRENDE Y SE BLOQUEA DE IMEDIATO  DANDO COMO HERRO EN EL DISPLAY F6 QUE SIGNIFICA EMCANISMO TRABADO;0
382;9758;Video;con la bandeja abierta en el control Remoto presionar tecla pi;No habia video;0
383;9759;bandeja se cerraba volvia a abrirse;en este caso al revisar el mecanismo que transporta el optico desplazado hacia afuera,retorne el mecanismo hacia la parte interna manualmente y listo.; la bandeja itroducia el disco y volia a abrirse  y no se escuchaba que giraba el motor y en el display se leia no disc.;0
384;9760;led indicadora en pantalla;hasta el momento sin solucion;sonido al introducir el cassete de video,despues de unos segundos en el interior lo expulsa.apararece el la pantalla lcd,indicador en forma de triangulo con un linea en su parte inferior resaltado en su contorno por lineas.;0
